Date,Symbol,Open Price,High Price,Low Price,Close Price,Total Traded Quantity
2023-03-13,reliance,2329,2344,2275,2284.5,5894088
2023-03-14,reliance,2280,2304.95,2269.05,2275.95,7396699
2023-03-15,reliance,2284.1,2298.3,2227.4,2237.05,10027725
2023-03-16,reliance,2243,2254,2202.2,2225.9,8474595
2023-03-17,reliance,2244.75,2251.95,2212.7,2223.1,15697554
2023-03-20,reliance,2215,2220,2180,2201.25,9010595
2023-03-21,reliance,2218.95,2274,2217,2269.7,9876263
2023-03-22,reliance,2285,2291.45,2270,2276.6,5039622
2023-03-23,reliance,2268,2269.9,2243.05,2247.8,7499082
2023-03-13,tcs,"3,333.00","3,369.80","3,272.00","3,281.95","19,01,233"
2023-03-14,tcs,"3,280.00","3,304.40","3,209.40","3,214.95","26,70,334"
2023-03-15,tcs,"3,250.00","3,260.35","3,192.00","3,198.90","17,80,522"
2023-03-16,tcs,"3,208.00","3,219.80","3,172.00","3,185.00","19,01,060"
2023-03-17,tcs,"3,150.50","3,221.40","3,144.00","3,179.30","67,39,966"
2023-03-20,tcs,"3,169.65","3,169.65","3,095.05","3,143.30","22,89,468"
2023-03-21,tcs,"3,143.30","3,156.75","3,097.45","3,106.10","18,15,297"
2023-03-22,tcs,"3,130.05","3,143.50","3,106.10","3,130.80","11,23,939"
2023-03-23,tcs,"3,114.90","3,146.35","3,101.00","3,124.65","13,72,218"
2023-03-13,tatasteel,108.25,109,106.35,106.8,"3,45,52,596"
2023-03-14,tatasteel,107,108.55,106.2,106.4,"4,85,84,984"
2023-03-15,tatasteel,107.5,109.15,107.4,108.65,"3,89,30,902"
2023-03-16,tatasteel,107.25,107.25,103.7,105.05,"8,10,88,340"
2023-03-17,tatasteel,106.45,107.35,105,107,"4,89,62,238"
2023-03-20,tatasteel,106.1,106.45,103.85,104.5,"4,15,69,640"
2023-03-21,tatasteel,105.1,105.4,104.3,104.75,"2,64,34,897"
2023-03-22,tatasteel,104.75,105.95,104.4,104.8,"2,58,91,259"
2023-03-23,tatasteel,104.4,105.5,104.35,104.9,"2,09,13,844"
2023-03-13,bhartiartl,777.45,777.8,763.15,765.3,"34,47,889"
2023-03-14,bhartiartl,764,776.75,764,771.8,"37,53,502"
2023-03-15,bhartiartl,758,765.55,752.5,756.65,"81,01,060"
2023-03-16,bhartiartl,750,759,743.5,745.95,"74,65,693"
2023-03-17,bhartiartl,750,759.45,739.15,757.25,"93,06,857"
2023-03-20,bhartiartl,754.95,759.8,748.8,754.8,"35,66,109"
2023-03-21,bhartiartl,760,766,755.15,756.95,"53,32,221"
2023-03-22,bhartiartl,761,763.2,753.15,756.7,"26,80,654"
2023-03-23,bhartiartl,758,765.8,756.85,763.55,"24,54,948"
2023-03-13,infy,"1,464.20","1,478.30","1,428.00","1,435.10","87,98,403"
2023-03-14,infy,"1,441.00","1,448.35","1,411.00","1,420.00","74,02,784"
2023-03-15,infy,"1,438.00","1,442.85","1,416.85","1,419.65","75,56,182"
2023-03-16,infy,"1,417.80","1,417.80","1,398.70","1,404.10","73,23,117"
2023-03-17,infy,"1,430.00","1,442.90","1,411.40","1,420.70","90,90,018"
2023-03-20,infy,"1,419.70","1,419.70","1,384.85","1,403.65","82,21,829"
2023-03-21,infy,"1,399.00","1,405.00","1,390.00","1,390.70","85,36,755"
2023-03-22,infy,"1,403.00","1,407.25","1,382.15","1,389.25","83,56,487"
2023-03-23,infy,"1,383.95","1,383.95","1,370.00","1,374.55","76,07,718"
